time,seconds_elapsed,relativeAltitude,pressure
1667915995216163600,-0.53683642578125,0,1000.1908874511719
1667915996216738600,0.463738525390625,0.02378082275390625,1000.18798828125
1667915997217319400,1.4643193359375,0.0475616455078125,1000.1851654052734
1667915998217891300,2.464891357421875,0.11626434326171875,1000.177001953125
1667915999218469600,3.4654697265625,0.11626434326171875,1000.177001953125
1667916000219047400,4.46604736328125,0.095123291015625,1000.1795196533203
1667916000769992700,5.01699267578125,0.095123291015625,1000.1795196533203
1667916001770571500,6.017571533203125,0.10833740234375,1000.1780700683594
1667916002771146500,7.018146484375,0.11890411376953125,1000.1766204833984
1667916003771721700,8.0187216796875,0.140045166015625,1000.1741027832031
1667916004772301600,9.019301513671875,0.1611785888671875,1000.1718902587891
1667916005772872400,10.01987255859375,0.1876068115234375,1000.1687622070312
1667916006773450500,11.020450439453125,0.1876068115234375,1000.1687622070312
1667916007774066400,12.02106640625,0.18231964111328125,1000.1692962646484
1667916008774606600,13.021606689453124,0.1717529296875,1000.1705932617188
1667916009775182600,14.0221826171875,0.1717529296875,1000.1705932617188
1667916010775756500,15.022756591796876,0.16646575927734375,1000.1710510253906
1667916011776334600,16.02333447265625,0.1717529296875,1000.1705932617188
1667916012776910600,17.02391064453125,0.177032470703125,1000.1697540283203
1667916013777488400,18.02448828125,0.1928863525390625,1000.1679229736328
1667916014778059500,19.0250595703125,0.19817352294921875,1000.167236328125
1667916015778637600,20.025637451171875,0.19817352294921875,1000.167236328125
1667916016779216600,21.026216552734375,0.19817352294921875,1000.1673126220703
